MP,Temp,UP,Time,Y
-1,-1,-1,-1,0.00866438
1,-1,-1,-1,0.008746129
-1,1,-1,-1,0.012578415
1,1,-1,-1,0.012463696
-1,-1,1,-1,0.008612287
1,-1,1,-1,0.008803451
-1,1,1,-1,0.012280052
1,1,1,-1,0.012139256
-1,-1,-1,1,0.013108837
1,-1,-1,1,0.013209105
-1,1,-1,1,0.018646267
1,1,-1,1,0.018575493
-1,-1,1,1,0.013091756
1,-1,1,1,0.013122102
-1,1,1,1,0.01809375
1,1,1,1,0.018612665
-2,0,0,0,0.012697254
0,-2,0,0,0.008784889
0,0,-2,0,0.012955184
0,0,0,-2,0.008423651
2,0,0,0,0.012637455
-1,-1,-1,-1,0.008694107
1,-1,-1,-1,0.008676801
-1,1,-1,-1,0.012293937
1,1,-1,-1,0.012377306
-1,-1,1,-1,0.008457301
1,-1,1,-1,0.008726558
-1,1,1,-1,0.012242343
1,1,1,-1,0.012154674
-1,-1,-1,1,0.013365721
1,-1,-1,1,0.013324809
-1,1,-1,1,0.018365142
1,1,-1,1,0.018675196
-1,-1,1,1,0.0131544
1,-1,1,1,0.013215719
-1,1,1,1,0.01832033
1,1,1,1,0.018384581
-2,0,0,0,0.012626379
0,-2,0,0,0.008931994
0,0,-2,0,0.012815786
0,0,0,-2,0.008404979
2,0,0,0,0.012746594
-1,-1,-1,-1,0.008603518
1,-1,-1,-1,0.008958498
-1,1,-1,-1,0.012534374
1,1,-1,-1,0.012315811
-1,-1,1,-1,0.008566576
1,-1,1,-1,0.008613464
-1,1,1,-1,0.012319294
1,1,1,-1,0.012283556
-1,-1,-1,1,0.013232664
1,-1,-1,1,0.013264317
-1,1,-1,1,0.018411518
1,1,-1,1,0.018763829
-1,-1,1,1,0.013009987
1,-1,1,1,0.013307874
-1,1,1,1,0.017914984
1,1,1,1,0.018390225
-2,0,0,0,0.012649856
0,-2,0,0,0.008978732
0,0,-2,0,0.012913572
0,0,0,-2,0.008421164
2,0,0,0,0.012730634
-1,-1,-1,-1,0.008624779
1,-1,-1,-1,0.008672829
-1,1,-1,-1,0.01242152
1,1,-1,-1,0.01251086
-1,-1,1,-1,0.008605719
1,-1,1,-1,0.008733933
-1,1,1,-1,0.012476762
1,1,1,-1,0.012233583
-1,-1,-1,1,0.012897886
1,-1,-1,1,0.01340222
-1,1,-1,1,0.018289244
1,1,-1,1,0.018381871
-1,-1,1,1,0.013173809
1,-1,1,1,0.013070312
-1,1,1,1,0.017973848
1,1,1,1,0.018316205
-2,0,0,0,0.012616663
0,-2,0,0,0.008959881
0,0,-2,0,0.0129143
0,0,0,-2,0.008432259
2,0,0,0,0.012855697
0,2,0,0,0.017722702
0,0,2,0,0.012586191
0,0,0,2,0.019277675
0,0,0,0,0.012758875
0,0,0,0,0.012662134
0,0,0,0,0.012850251
0,0,0,0,0.01283031
